team,group,win_pct,final_pct,semi_pct,win_odds,base_elo,avg_post_group_elo,elo_delta,squad_adj,player_quality,club_strength,fitness,kpa
Spain,H,25.39,35.06,44.61,1/4,2146.3,2140.1,-6.2,+53.5,88,90,92,1.00
Argentina,J,12.93,20.48,28.42,1/8,2106.4,2102.0,-4.4,+31.0,91,85,86,0.90
France,I,10.35,18.30,29.14,1/10,2054.3,2052.8,-1.5,+52.0,90,93,88,1.00
England,L,6.68,12.58,19.84,1/15,2027.2,2025.3,-1.9,+47.0,88,91,90,0.95
Brazil,C,5.71,12.35,23.39,1/18,2008.1,2006.6,-1.5,+32.0,89,88,85,0.95
United States,D,4.15,9.44,18.80,1/24,1875.9,1907.2,+31.3,+22.5,77,84,92,1.00
Mexico,A,3.95,9.45,19.57,1/25,1926.0,1935.4,+9.4,-12.5,76,72,86,1.00
Colombia,K,3.52,7.70,15.19,1/28,1988.9,1988.1,-0.8,+17.0,81,80,89,1.00
Germany,E,3.33,7.76,16.43,1/30,1953.8,1955.9,+2.1,+42.0,85,88,91,1.00
Portugal,K,2.94,6.91,13.84,1/34,1972.7,1973.1,+0.4,+18.0,88,87,82,0.90
Netherlands,F,2.83,6.44,13.06,1/35,1955.1,1953.8,-1.3,+30.0,85,87,88,0.95
Morocco,C,2.60,6.35,14.97,1/39,1962.6,1960.7,-1.9,+7.5,79,78,88,1.00
Japan,F,2.44,6.04,12.67,1/41,1970.6,1967.2,-3.4,+19.0,78,82,91,1.00
Ecuador,E,1.64,4.35,10.98,1/61,1965.0,1958.7,-6.3,-22.5,73,71,85,1.00
Uruguay,H,1.52,4.45,10.94,1/66,1911.5,1911.0,-0.5,+8.5,80,79,87,1.00
Norway,I,1.26,3.35,9.19,1/79,1907.3,1909.1,+1.8,+7.0,77,82,87,1.00
Belgium,G,1.15,3.20,8.33,1/87,1895.6,1898.9,+3.3,+12.0,82,84,85,0.95
Canada,B,1.11,3.29,9.12,1/90,1832.7,1828.7,-4.0,+4.5,76,80,88,1.00
Switzerland,B,1.03,3.08,8.57,1/97,1904.1,1897.2,-6.9,+7.0,76,80,89,1.00
Croatia,L,0.97,2.74,7.34,1/103,1907.7,1906.4,-1.3,-3.0,80,82,83,0.90
South Korea,A,0.97,3.22,8.96,1/104,1886.2,1892.5,+6.3,+0.5,76,79,87,1.00
Turkey,D,0.60,1.92,6.67,1/165,1899.5,1893.1,-6.4,-22.0,74,75,82,1.00
Senegal,I,0.56,1.97,6.41,1/177,1882.4,1882.8,+0.4,-6.5,78,77,85,0.95
Australia,D,0.50,1.63,5.97,>1/200,1874.5,1870.5,-4.0,-20.0,72,74,85,1.00
Iran,G,0.40,1.35,4.52,>1/200,1879.8,1876.5,-3.3,-42.0,70,67,82,1.00
Austria,J,0.39,1.33,4.74,>1/200,1831.2,1836.7,+5.5,-0.5,76,80,86,1.00
Algeria,J,0.38,1.29,4.50,>1/200,1860.7,1860.7,+0.0,-23.5,73,72,84,1.00
Ivory Coast,E,0.18,0.69,3.21,>1/200,1806.5,1806.2,-0.3,-26.0,73,72,83,1.00
Scotland,C,0.13,0.69,3.09,>1/200,1786.9,1790.1,+3.2,-19.0,72,73,86,1.00
Paraguay,D,0.07,0.30,1.59,>1/200,1802.8,1781.9,-20.9,-34.0,72,68,83,1.00
Uzbekistan,K,0.07,0.39,1.98,>1/200,1805.3,1803.1,-2.2,-63.0,65,58,83,1.00
Egypt,G,0.06,0.31,1.80,>1/200,1788.5,1787.6,-0.9,-52.5,71,68,80,0.85
Czechia,A,0.05,0.25,1.69,>1/200,1725.0,1716.4,-8.6,-20.0,72,74,85,1.00
Panama,L,0.04,0.28,1.86,>1/200,1791.1,1787.8,-3.3,-65.0,63,61,82,1.00
DR Congo,K,0.03,0.15,1.06,>1/200,1740.3,1743.0,+2.7,-57.5,67,64,80,1.00
Sweden,F,0.03,0.21,1.44,>1/200,1716.6,1720.6,+4.0,-15.5,74,76,84,1.00
Tunisia,F,0.02,0.18,1.20,>1/200,1734.7,1735.4,+0.7,-38.0,70,68,83,1.00
Ghana,L,0.01,0.07,0.41,>1/200,1630.9,1637.5,+6.6,-35.5,71,70,82,1.00
Haiti,C,0.01,0.04,0.34,>1/200,1684.2,1684.4,+0.2,-95.5,58,54,78,1.00
Bosnia and Herzegovina,B,0.01,0.03,0.49,>1/200,1627.8,1639.4,+11.6,-33.5,70,71,83,1.00
Iraq,I,0.01,0.10,0.57,>1/200,1732.3,1731.6,-0.7,-78.5,61,58,80,1.00
Saudi Arabia,H,0.01,0.09,0.80,>1/200,1689.8,1692.7,+2.9,-53.5,67,65,81,1.00
South Africa,A,0.00,0.03,0.29,>1/200,1636.2,1629.0,-7.2,-67.0,64,60,81,1.00
Qatar,B,0.00,0.01,0.14,>1/200,1580.0,1579.3,-0.7,-79.0,62,58,79,1.00
New Zealand,G,0.00,0.06,0.53,>1/200,1707.5,1708.5,+1.0,-78.0,60,58,81,1.00
Cape Verde,H,0.00,0.02,0.38,>1/200,1648.0,1651.8,+3.8,-58.0,65,63,82,1.00
Curacao,E,0.00,0.01,0.17,>1/200,1608.9,1613.3,+4.4,-70.5,62,62,80,1.00
Jordan,J,0.00,0.10,0.78,>1/200,1746.2,1745.1,-1.1,-82.0,60,57,80,1.00
