team,group,base_elo,squad_adj,eff_elo,avg_post_group_elo,elo_delta,player_quality,club_strength,squad_depth,fitness,key_player_availability
Spain,H,2146.3,+53.5,2199.8,2140.1,-6.2,88,90,88,92,1.0
Argentina,J,2106.4,+31.0,2137.4,2102.0,-4.4,91,85,76,86,0.9
France,I,2054.3,+52.0,2106.3,2052.8,-1.5,90,93,85,88,1.0
England,L,2027.2,+47.0,2074.2,2025.3,-1.9,88,91,80,90,0.95
Brazil,C,2008.1,+32.0,2040.1,2006.6,-1.5,89,88,82,85,0.95
Colombia,K,1988.9,+17.0,2005.9,1988.1,-0.8,81,80,75,89,1.0
Germany,E,1953.8,+42.0,1995.8,1955.9,+2.1,85,88,84,91,1.0
Portugal,K,1972.7,+18.0,1990.7,1973.1,+0.4,88,87,75,82,0.9
Japan,F,1970.6,+19.0,1989.6,1967.2,-3.4,78,82,74,91,1.0
Netherlands,F,1955.1,+30.0,1985.1,1953.8,-1.3,85,87,79,88,0.95
Morocco,C,1962.6,+7.5,1970.1,1960.7,-1.9,79,78,72,88,1.0
Ecuador,E,1965.0,-22.5,1942.5,1958.7,-6.3,73,71,65,85,1.0
Uruguay,H,1911.5,+8.5,1920.0,1911.0,-0.5,80,79,74,87,1.0
Norway,I,1907.3,+7.0,1914.3,1909.1,+1.8,77,82,71,87,1.0
Switzerland,B,1904.1,+7.0,1911.1,1897.2,-6.9,76,80,72,89,1.0
Mexico,A,1926.0,-12.5,1913.5,1935.4,+9.4,76,72,68,86,1.0
Belgium,G,1895.6,+12.0,1907.6,1898.9,+3.3,82,84,72,85,0.95
Croatia,L,1907.7,-3.0,1904.7,1906.4,-1.3,80,82,70,83,0.9
United States,D,1875.9,+22.5,1898.4,1907.2,+31.3,77,84,76,92,1.0
South Korea,A,1886.2,+0.5,1886.7,1892.5,+6.3,76,79,70,87,1.0
Turkey,D,1899.5,-22.0,1877.5,1893.1,-6.4,74,75,68,82,1.0
Senegal,I,1882.4,-6.5,1875.9,1882.8,+0.4,78,77,70,85,0.95
Australia,D,1874.5,-20.0,1854.5,1870.5,-4.0,72,74,65,85,1.0
Canada,B,1832.7,+4.5,1837.2,1828.7,-4.0,76,80,73,88,1.0
Iran,G,1879.8,-42.0,1837.8,1876.5,-3.3,70,67,61,82,1.0
Algeria,J,1860.7,-23.5,1837.2,1860.7,+0.0,73,72,66,84,1.0
Austria,J,1831.2,-0.5,1830.7,1836.7,+5.5,76,80,70,86,1.0
Ivory Coast,E,1806.5,-26.0,1780.5,1806.2,-0.3,73,72,65,83,1.0
Paraguay,D,1802.8,-34.0,1768.8,1781.9,-20.9,72,68,63,83,1.0
Scotland,C,1786.9,-19.0,1767.9,1790.1,+3.2,72,73,65,86,1.0
Uzbekistan,K,1805.3,-63.0,1742.3,1803.1,-2.2,65,58,55,83,1.0
Egypt,G,1788.5,-52.5,1736.0,1787.6,-0.9,71,68,62,80,0.85
Panama,L,1791.1,-65.0,1726.1,1787.8,-3.3,63,61,53,82,1.0
Czechia,A,1725.0,-20.0,1705.0,1716.4,-8.6,72,74,65,85,1.0
Sweden,F,1716.6,-15.5,1701.1,1720.6,+4.0,74,76,68,84,1.0
Tunisia,F,1734.7,-38.0,1696.7,1735.4,+0.7,70,68,62,83,1.0
DR Congo,K,1740.3,-57.5,1682.8,1743.0,+2.7,67,64,58,80,1.0
Jordan,J,1746.2,-82.0,1664.2,1745.1,-1.1,60,57,50,80,1.0
Iraq,I,1732.3,-78.5,1653.8,1731.6,-0.7,61,58,51,80,1.0
New Zealand,G,1707.5,-78.0,1629.5,1708.5,+1.0,60,58,50,81,1.0
Saudi Arabia,H,1689.8,-53.5,1636.3,1692.7,+2.9,67,65,58,81,1.0
Bosnia and Herzegovina,B,1627.8,-33.5,1594.3,1639.4,+11.6,70,71,62,83,1.0
Ghana,L,1630.9,-35.5,1595.4,1637.5,+6.6,71,70,63,82,1.0
Cape Verde,H,1648.0,-58.0,1590.0,1651.8,+3.8,65,63,55,82,1.0
Haiti,C,1684.2,-95.5,1588.7,1684.4,+0.2,58,54,46,78,1.0
South Africa,A,1636.2,-67.0,1569.2,1629.0,-7.2,64,60,54,81,1.0
Curacao,E,1608.9,-70.5,1538.4,1613.3,+4.4,62,62,52,80,1.0
Qatar,B,1580.0,-79.0,1501.0,1579.3,-0.7,62,58,50,79,1.0
